"","X","id","created_at","conceptPast","spectrumLeft","spectrumRight","valuePast","chapter","user","valuePresent","conceptPresent","feedback"
"181",181,910,"2022-07-16 10:11:49.629724+00","Julius Caesar","dominant","submissive",0.024131274,"ch2","830dfe6d-4962-47bf-93cd-cdf33c2dd136",0,"Vladimir Putin","I placed Julius Caesar here because ...dictator, bit I’m not familiar with how he influenced culture/daily life
"
"182",182,911,"2022-07-16 10:12:37.49293+00","Boudica","multicultural","non multicultural",0.153474903,"ch2","830dfe6d-4962-47bf-93cd-cdf33c2dd136",0.781853282,"Theresa May","I placed Boudica here because ...different tribes saw each other as different cultures"
"183",183,920,"2022-07-16 11:17:24.541826+00","Boudica","practical","symbolic",0.977799228,"ch2","85689dba-b70b-48ca-acac-9e569e7e9dce",1,"Elizabeth I","I placed Boudica here because ...they are both strong women

"
"184",184,921,"2022-07-16 11:17:51.417258+00","the Roman Empire","dominant","submissive",0.021693756,"ch2","85689dba-b70b-48ca-acac-9e569e7e9dce",0.809317335,"the European Union","I placed the Roman Empire here because ...they built an empire"
"185",185,929,"2022-07-16 13:19:28.441901+00","Hadrian's Wall","progressive","regressive",0,"ch2","edf24712-e764-442b-a889-2d7ff35d6e18",0,"the Anglo-Scottish border","I placed Hadrian's Wall here because Rome was imperialist."
"186",186,939,"2022-07-17 10:34:46.476381+00","Julius Caesar","skillful","incompetent",0,"ch2","4a592e4d-ba45-470a-89d2-e4ef2479509e",0,"Napoleon","I placed Julius Caesar here because ...he helped maintain an empire 
"
"187",187,945,"2022-07-17 12:15:36.798043+00","Boudica","moving","fixed",1,"ch2","41dff755-2e5a-434a-82d2-9836f6653ad4",0,"Theresa May","I placed Boudica here because ... she was a great part of history 
"
"188",188,959,"2022-07-18 09:58:56.586154+00","Boudica","progressive","regressive",0.974772922,"ch2","d6cdd0dd-c375-4128-b44a-edc7daa39d33",0.504064317,"Margaret Thatcher","I placed Boudica here because ...she ruled a whole city in the Celtic era"
"189",189,967,"2022-07-18 11:21:34.046714+00","the Roman Empire","connecting","dividing",0.760617761,"ch2","cb12ebc3-f64c-40f4-b64f-195eb74dcc79",1,"the USSR","I placed the Roman Empire here because ...they took land"
"190",190,968,"2022-07-18 11:22:11.225091+00","Julius Caesar","peaceful","violent",0.993243243,"ch2","cb12ebc3-f64c-40f4-b64f-195eb74dcc79",1,"Vladimir Putin","I placed Julius Caesar here because ...he had no care for life of others"
"191",191,969,"2022-07-18 11:22:58.037851+00","the Fall of the Roman Empire","dominant","submissive",0.708494208,"ch2","cb12ebc3-f64c-40f4-b64f-195eb74dcc79",0.499962236,"the End of Nazi Germany","I placed the Fall of the Roman Empire here because ...they hadn’t reformed "
"192",192,977,"2022-07-18 12:06:20.301114+00","the Roman Empire","connecting","dividing",0.472007722,"ch2","0484c806-e479-48e7-b9a4-d090383ac376",0.91551615,"the European Union","I placed the Roman Empire here because at least the Roman Empire wasn’t run by the incompetent twats in the government "
"193",193,979,"2022-07-18 12:10:29.716113+00","Boudica","heroic","deluded",0.180501931,"ch2","1efa9dca-f6c6-49e0-b447-160ecadf156f",0.179824711,"the Suffragettes","I placed Boudica here because  ... she made good choices."
"194",194,988,"2022-07-18 12:20:51.141369+00","the Roman Empire","regenerating","destructive",1,"ch2","4523739f-00bb-43c2-85c2-0e7401d0b4cf",0,"the European Union","I placed the Roman Empire here because ... they burnt villages"
"195",195,990,"2022-07-18 12:31:56.087733+00","the Roman Empire","moving","fixed",0.611003861,"ch2","14a20872-b0b1-4d9b-be3b-4ba71eb6f9b3",0.505791506,"the European Union","I placed the Roman Empire here because ...was able and then unable to change."
"196",196,991,"2022-07-18 12:33:05.836563+00","the Fall of the Roman Empire","free","controlled",0.906370656,"ch2","14a20872-b0b1-4d9b-be3b-4ba71eb6f9b3",0.902895305,"Scottish independence","I placed the Fall of the Roman Empire here because ...once a union or empire is split the future is very uncertain."
"197",197,994,"2022-07-18 12:33:50.952789+00","Julius Caesar","practical","symbolic",0.531853282,"ch2","14a20872-b0b1-4d9b-be3b-4ba71eb6f9b3",0.997562482,"Vladimir Putin","I placed Julius Caesar here because ...was able to look at some aspects of change."
"198",198,1002,"2022-07-19 09:25:16.887818+00","Boudica","native","foreign",0,"ch2","30ef11e9-489d-4309-a4b3-8d16366aff25",0,"Margaret Thatcher","I placed Boudica here because ... she was British"
"199",199,1003,"2022-07-19 09:26:48.822839+00","Hadrian's Wall","inclusive","exclusive",0.94015444,"ch2","30ef11e9-489d-4309-a4b3-8d16366aff25",0.938223938,"the US-Mexican border","I placed Hadrian's Wall here because ...it was built to keep certain people out"
"200",200,1004,"2022-07-19 09:28:06.451902+00","the Roman Empire","long-lasting","short-term",0.365830116,"ch2","30ef11e9-489d-4309-a4b3-8d16366aff25",0.558880309,"the British Empire","I placed the Roman Empire here because ...it lasted longer than the British empire "
"201",201,1014,"2022-07-19 09:58:53.462711+00","Hadrian's Wall","free","controlled",0.72972973,"ch2","388f9b78-7d68-46e5-b74d-f77c4c2f0e24",0.920849421,"the Great Wall of China","I placed Hadrian's Wall here because it’s governed by unesco, English heritage, the Vineland’s trust etc."
"202",202,1015,"2022-07-19 09:59:22.82293+00","the Fall of the Roman Empire","free","controlled",0.239351155,"ch2","388f9b78-7d68-46e5-b74d-f77c4c2f0e24",0.216216216,"the End of the British Empire","I placed the Fall of the Roman Empire here because the collapse was not controlled"
"203",203,1020,"2022-07-19 10:03:28.40219+00","Boudica","regenerating","destructive",0.732625483,"ch2","05cf0be5-c601-4540-93f9-663bc77a6b94",0.667953668,"Margaret Thatcher","I placed Boudica here because her actions led to the destruction of several cities. At least, according to the Roman historians."
"204",204,1021,"2022-07-19 10:05:29.816593+00","Julius Caesar","progressive","regressive",0.487420646,"ch2","05cf0be5-c601-4540-93f9-663bc77a6b94",0.444980695,"Jean-Claude Juncker","I placed Julius Caesar here because while he brought much change to Roman society and was popular among the people, it is difficult to say whether his actions were progressive or regressive, in my view."
"205",205,1025,"2022-07-19 10:06:59.795161+00","the Fall of the Roman Empire","peaceful","violent",0.792471042,"ch2","05cf0be5-c601-4540-93f9-663bc77a6b94",0.497104247,"Brexit","I placed the Fall of the Roman Empire here because there is historical and archaeological evidence for widespread destruction during the period of Rome’s decline."
"206",206,1027,"2022-07-19 10:31:53.193175+00","the Fall of the Roman Empire","inclusive","exclusive",0.452195687,"ch2","a7176e7a-550b-417f-8ba8-abc8138310a0",0,"the End of the British Empire","I placed the Fall of the Roman Empire here because ...it still has greatness represented here
"
"207",207,1033,"2022-07-19 11:12:54.928611+00","the Roman Empire","celebrated","condemned",0.00965251,"ch2","91ef2058-5a4c-468d-8eec-be81f080333f",0.999034749,"the British Empire","I placed the Roman Empire here because the Roman Empire was mainly fighting

"
"208",208,1038,"2022-07-19 11:47:08.794572+00","Julius Caesar","multicultural","non multicultural",0.593629344,"ch2","4cffd196-077a-4727-b223-5288809bbd00",0.477799228,"Napoleon","I placed Julius Caesar here because ...he thought the Roman way of life was the best"
"209",209,1049,"2022-07-19 12:10:29.75162+00","Hadrian's Wall","connecting","dividing",1,"ch2","19ba4fc4-c97d-4b48-acb1-f07e367af2bc",1,"the Berlin Wall","I placed Hadrian's Wall here because ... it was really dividing for the Scottish and other native populations. It was a wall of conquest and division that has harmful impacts on culture religion and peoples of the north
"
"210",210,1051,"2022-07-19 12:13:28.00658+00","the Fall of the Roman Empire","free","controlled",0.507722008,"","",0.508687259,"Brexit","I placed the Fall of the Roman Empire here because ... I don’t understand the context of this or what this question is trying to achieve"
"211",211,1052,"2022-07-19 12:15:02.576057+00","Julius Caesar","regenerating","destructive",0.503861004,"","",0.505791506,"Donald Trump","I placed Julius Caesar here because ... he destroyed local lives while creating a new empire. He was a mover of change but not creator of change as many Roman ideas came from Egypt and Greece "
"212",212,1053,"2022-07-19 12:15:50.155042+00","Boudica","celebrated","condemned",0.504826255,"","",0.506756757,"Margaret Thatcher","I placed Boudica here because ... loved by locals, hated by romans. "
"213",213,1055,"2022-07-19 12:20:42.291234+00","the Fall of the Roman Empire","secure","insecure",0.488871909,"ch2","3e9d62f6-7675-4aa2-9558-2f7ea43a8cec",0.490797964,"the End of Nazi Germany","I placed the Fall of the Roman Empire here because ... the question is not specific enough. It could be interpreted in many ways"
"214",214,1057,"2022-07-19 12:51:35.80195+00","Hadrian's Wall","refined","crude",0,"ch2","b1ec56ed-6549-4837-a0b3-9787a9843d35",0.592664093,"the Berlin Wall","I placed Hadrian's Wall here because ...it was built very well and strong "
"215",215,1082,"2022-07-21 00:55:22.350365+00","the Fall of the Roman Empire","native","foreign",0.739668566,"ch2","0c6ebe5f-8d44-4405-b943-a75f881f3c84",0.732626305,"Scottish independence","I placed the Fall of the Roman Empire here because ... it is a foreign land to me"
"216",216,1083,"2022-07-21 00:55:52.591919+00","Hadrian's Wall","refined","crude",0.367495565,"ch2","0c6ebe5f-8d44-4405-b943-a75f881f3c84",0.649666991,"the Berlin Wall","I placed Hadrian's Wall here because ... I give the ancient people more credit for building a long wall"
"217",217,1084,"2022-07-21 00:56:14.756269+00","Boudica","native","foreign",0.657255334,"ch2","0c6ebe5f-8d44-4405-b943-a75f881f3c84",0.192997859,"the Suffragettes","I placed Boudica here because ... she is foreign to me in terms of geographic location"
"218",218,1092,"2022-07-21 10:03:26.358621+00","the Roman Empire","multicultural","non multicultural",0.048262548,"ch2","771607cc-ff7d-496f-bc5f-28b83bfd1811",0.727799228,"the USSR","I placed the Roman Empire here because ...They were an empire.
"
"219",219,1095,"2022-07-21 10:09:29.883263+00","the Fall of the Roman Empire","inclusive","exclusive",0.503861004,"ch2","c864dc8f-754f-4abd-be73-a2ce1579fe26",0.635135135,"Scottish independence","I placed the Fall of the Roman Empire here because ... I believe that the fall of the Roman empire was a good thing for the non-Italian countries."
"220",220,1096,"2022-07-21 10:09:50.251412+00","Hadrian's Wall","reassuring","worrying",0.359073359,"ch2","c864dc8f-754f-4abd-be73-a2ce1579fe26",0.768339768,"the Berlin Wall","I placed Hadrian's Wall here because ... The builders worked with the people."
"221",221,1097,"2022-07-21 10:10:13.809369+00","Boudica","progressive","regressive",0.297297297,"ch2","c864dc8f-754f-4abd-be73-a2ce1579fe26",0.377413127,"Theresa May","I placed Boudica here because ... she wanted freedom for her fellow celts."
"222",222,1098,"2022-07-21 10:14:23.546201+00","Julius Caesar","practical","symbolic",0.798262548,"ch2","56d86457-3e83-414a-b898-ddc8ae2dcebd",0.611969112,"Napoleon","I placed Julius Caesar here because more symbolic than napoleon as I am less aware of what he did due to how long ago he lived. Additionally he appears in more popular culture eg carry on film"
"223",223,1099,"2022-07-21 10:15:34.729758+00","the Fall of the Roman Empire","practical","symbolic",0.321428571,"ch2","56d86457-3e83-414a-b898-ddc8ae2dcebd",1,"Scottish independence","I placed the Fall of the Roman Empire here because it allowed the individual countries to develop in their own ways eg after the Romans left old English developed significantly "
"224",224,1100,"2022-07-21 10:17:10.035192+00","Hadrian's Wall","connecting","dividing",1,"ch2","56d86457-3e83-414a-b898-ddc8ae2dcebd",0.555961344,"the Berlin Wall","I placed Hadrian's Wall here because it was built by the Romans as they couldn’t conquer the Northumbrian tribes. 

"
"225",225,1101,"2022-07-21 10:19:23.922773+00","Hadrian's Wall","native","foreign",0.552819977,"ch2","dda93ac2-4527-4be6-a505-24c3da611b24",0.695945946,"the Anglo-Scottish border","I placed Hadrian's Wall here because it’s history of dividing "
"226",226,1102,"2022-07-21 10:20:10.655899+00","Julius Caesar","progressive","regressive",0.47972973,"ch2","dda93ac2-4527-4be6-a505-24c3da611b24",0.202702703,"Napoleon","I placed Julius Caesar here because both approached governing and politics from new angles. Hence when Ceaser changed it too much he was killed/"
"227",227,1103,"2022-07-21 10:21:26.008658+00","the Fall of the Roman Empire","inclusive","exclusive",0.675651285,"ch2","dda93ac2-4527-4be6-a505-24c3da611b24",0.016409266,"Brexit","I placed the Fall of the Roman Empire here because it proceeded to divide up its territories. It split into city states in Italy, gave way to the moors in North Africa and it itself became leaning towards Constantinople and the creation of the Byzantine empire."
"228",228,1104,"2022-07-21 10:56:49.036853+00","Hadrian's Wall","civilised","barbaric",0.989840474,"ch2","921e4d61-e710-4f49-8f8c-c357ed8e54af",0.996138996,"the US-Mexican border","I placed Hadrian's Wall here because ...it is not nice to separate people 
"
"229",229,1106,"2022-07-21 11:48:22.222201+00","Hadrian's Wall","practical","symbolic",1,"ch2","da68ab83-6cc7-4f2c-9c81-663c8208e509",0.979705339,"the Anglo-Scottish border","I placed Hadrian's Wall here because ...it shows a distinct border🙂
"
"230",230,1107,"2022-07-21 11:49:12.418514+00","the Fall of the Roman Empire","practical","symbolic",0.998028376,"ch2","da68ab83-6cc7-4f2c-9c81-663c8208e509",0.852316602,"the End of the British Empire","I placed the Fall of the Roman Empire here because ...it marks the beginnings of the new world."
"231",231,1114,"2022-07-21 14:38:20.388053+00","Boudica","secure","insecure",0.666988417,"ch2","b263fd43-2f65-4ce7-a0de-c33a9cf1fb16",0.664092664,"the Suffragettes","I placed Boudica here because ... we don’t know who she is, but she’s off horrible histories
"
"232",232,1115,"2022-07-21 14:39:04.91208+00","Julius Caesar","reassuring","worrying",1,"ch2","b263fd43-2f65-4ce7-a0de-c33a9cf1fb16",1,"Vladimir Putin","I placed Julius Caesar here because ... sarah says he’s on a mad one and he eats grapes 🍇 
"
"233",233,1116,"2022-07-21 14:39:55.106615+00","Hadrian's Wall","free","controlled",0.505244782,"ch2","b263fd43-2f65-4ce7-a0de-c33a9cf1fb16",1,"the Berlin Wall","I placed Hadrian's Wall here because ... it was in the older days "
"234",234,1117,"2022-07-21 14:48:13.708841+00","Boudica","native","foreign",0.938223938,"ch2","062f8d6e-63bb-421f-9545-792807a5523a",0.095559846,"Theresa May","I placed Boudica here because she was a citizen of the world and not of England."
"235",235,1118,"2022-07-21 14:49:00.918526+00","the Roman Empire","free","controlled",0.264562776,"ch2","062f8d6e-63bb-421f-9545-792807a5523a",1,"the USSR","I placed the Roman Empire here because they were a powerful civilisation but fell anyway eventually."
"236",236,1131,"2022-07-22 11:24:47.944638+00","Boudica","skillful","incompetent",0,"ch2","a4723b25-17a7-4ac6-82ae-eda17830abbc",0.347948582,"Theresa May","I placed Boudica here because ...she was the first women to rule a tribe
"
"237",237,1140,"2022-07-22 12:32:01.80812+00","the Fall of the Roman Empire","practical","symbolic",0,"ch2","08c616ee-e385-4e25-b3b5-f31497ab79b2",0.512548263,"Scottish independence","I placed the Fall of the Roman Empire here because ... it didn’t symbolise anything, the Gauls simply invaded and took over, it was a political move."
"238",238,1143,"2022-07-22 12:51:08.990361+00","Hadrian's Wall","long-lasting","short-term",0.005791506,"ch2","5f0dc9a6-be6b-48ce-924f-929fb31026e7",0.673745174,"the Berlin Wall","I placed Hadrian's Wall here because ...it has been studied for centuries and acknowledged to be very old and historic by past generations."
"239",239,1144,"2022-07-22 12:54:20.426996+00","Boudica","inclusive","exclusive",0.507722008,"ch2","5f0dc9a6-be6b-48ce-924f-929fb31026e7",0.545366795,"the Suffragettes","I placed Boudica here because ...with rare exceptions in past history, women were often sadly overlooked.
"
"240",240,1145,"2022-07-22 12:57:09.198873+00","Julius Caesar","heroic","deluded",0.409266409,"ch2","5f0dc9a6-be6b-48ce-924f-929fb31026e7",1,"Vladimir Putin","I placed Julius Caesar here because ...he had the opportunity to use the Roman might to promote greater good and failed leading to the eventual fall of the Roman Empire."
"241",241,1151,"2022-07-22 13:31:24.714577+00","the Fall of the Roman Empire","inclusive","exclusive",0.230694981,"ch2","199e1719-189a-4c30-b820-8a9d63977002",0.593122328,"the End of the British Empire","I placed the Fall of the Roman Empire here because there is a lot included about the Roman Empire
"
"242",242,1168,"2022-07-23 11:31:32.069792+00","Julius Caesar","secure","insecure",0.298231462,"ch2","9d025bb5-0066-4991-a2c0-5fe153282c76",0.870656371,"Napoleon","I placed Julius Caesar here because ... he was very confident in what he was doing at the time.
"
"243",243,1174,"2022-07-23 12:29:08.959318+00","the Fall of the Roman Empire","practical","symbolic",1,"ch2","be2d6d73-cd82-4cf1-b8a4-baffca573c84",0.685174419,"Brexit","I placed the Fall of the Roman Empire here because ...it fell"
"244",244,1176,"2022-07-23 12:30:26.433973+00","the Roman Empire","refined","crude",0.683397683,"ch2","be2d6d73-cd82-4cf1-b8a4-baffca573c84",0,"Nazi Germany","I placed the Roman Empire here because ... they fell"
"245",245,1177,"2022-07-23 12:59:18.987031+00","Julius Caesar","civilised","barbaric",0.852392837,"ch2","55da4304-fcdb-47bf-ab18-1abd3046e800",1,"Donald Trump","I placed Julius Caesar here because ... He sounds bad?
"
"246",246,1183,"2022-07-23 13:27:28.082994+00","Boudica","skillful","incompetent",0.628378378,"ch2","47a66882-0cd4-4577-b5bc-e2701b336dee",0,"the Suffragettes","I placed Boudica here because ...because she got beet by romans big time"
"247",247,1188,"2022-07-23 13:43:08.801042+00","Julius Caesar","secure","insecure",0.967365989,"","",0.065637066,"Napoleon","I placed Julius Caesar here because ...he’s dead "
"248",248,1198,"2022-07-24 11:14:55.834432+00","the Roman Empire","multicultural","non multicultural",0.497104247,"ch2","e712e171-8f42-470d-acab-274faa02842c",0.336872587,"the European Union","I placed the Roman Empire here because ... they adapted other cultures whilst keeping roman values alive. "
"249",249,1199,"2022-07-24 11:16:23.183833+00","the Fall of the Roman Empire","peaceful","violent",0.146718147,"ch2","e712e171-8f42-470d-acab-274faa02842c",0,"Scottish independence","I placed the Fall of the Roman Empire here because ... in Britain, it was a change of order but in Rome there was more violence. "
"250",250,1221,"2022-07-25 09:33:44.365485+00","the Roman Empire","benevolent","malevolent",0.998069498,"ch2","59ebe464-52d6-4482-ae05-613c09962f61",0.492277992,"the European Union","I placed the Roman Empire here because ...they took other peoples countries."
"251",251,1222,"2022-07-25 09:34:31.241715+00","the Fall of the Roman Empire","heroic","deluded",0.197876448,"ch2","59ebe464-52d6-4482-ae05-613c09962f61",0,"Scottish independence","I placed the Fall of the Roman Empire here because ...the romans were very cruel"
"252",252,1223,"2022-07-25 09:36:17.904064+00","Boudica","celebrated","condemned",0,"ch2","59ebe464-52d6-4482-ae05-613c09962f61",0.504826255,"Margaret Thatcher","I placed Boudica here because ...she rebelled against the Roman Empire and is an important signature of rebellion ."
"253",253,1231,"2022-07-25 10:06:34.794827+00","Julius Caesar","refined","crude",0,"ch2","e0adcb4a-b740-4fd9-a8fe-8748794fc346",0.521380156,"Jean-Claude Juncker","I placed Julius Caesar here because ... he was well respected in his time "
"254",254,1232,"2022-07-25 10:07:11.962087+00","the Roman Empire","progressive","regressive",0.006756757,"ch2","e0adcb4a-b740-4fd9-a8fe-8748794fc346",0.446911197,"the European Union","I placed the Roman Empire here because ...they influenced how we live today"
"255",255,1233,"2022-07-25 10:07:49.464122+00","the Fall of the Roman Empire","moving","fixed",0.459440136,"ch2","e0adcb4a-b740-4fd9-a8fe-8748794fc346",0,"Scottish independence","I placed the Fall of the Roman Empire here because ...it influenced Scotland "
"256",256,1234,"2022-07-25 10:17:15.554305+00","Hadrian's Wall","regenerating","destructive",0.033163387,"ch2","614f8e28-43cb-46e9-a49f-12b157489f22",0,"the Great Wall of China","I placed Hadrian's Wall here because ...it is not far from Auntie house 

"
"257",257,1243,"2022-07-25 10:48:23.965288+00","the Roman Empire","multicultural","non multicultural",0,"ch2","af6fe4c0-8152-427f-abc7-55e659119a1f",0.294401544,"the British Empire","I placed the Roman Empire here because they were polytheistic"
"258",258,1244,"2022-07-25 10:49:41.555362+00","Julius Caesar","secure","insecure",0.704633205,"ch2","af6fe4c0-8152-427f-abc7-55e659119a1f",0.700772201,"Napoleon","I placed Julius Caesar here because ... they both overestimated their power"
"259",259,1252,"2022-07-25 11:23:40.412547+00","Boudica","dominant","submissive",0.117760618,"ch2","5e8b288d-4782-4965-965c-c6f259f780a9",0.317567568,"Margaret Thatcher","I placed Boudica here because ... she fought back against Roman suppression
"
"260",260,1253,"2022-07-25 11:24:21.279353+00","Hadrian's Wall","benevolent","malevolent",0.499034749,"ch2","5e8b288d-4782-4965-965c-c6f259f780a9",0.5,"the Great Wall of China","I placed Hadrian's Wall here because ...it was Roman imperialism that protected it’d people"
"261",261,1254,"2022-07-25 11:25:05.294569+00","Julius Caesar","celebrated","condemned",0.444980695,"ch2","5e8b288d-4782-4965-965c-c6f259f780a9",0.625482625,"Donald Trump","I placed Julius Caesar here because ...he did some good things and some bad things"
"262",262,1258,"2022-07-25 12:09:22.729737+00","Julius Caesar","reassuring","worrying",0.404440154,"ch2","fb976f49-f848-412c-ae73-4d279553bb5a",0.518798003,"Jean-Claude Juncker","I placed Julius Caesar here because ...there were some benefits for the human race
"
"263",263,1259,"2022-07-25 12:10:10.889375+00","Boudica","benevolent","malevolent",0.575289575,"ch2","fb976f49-f848-412c-ae73-4d279553bb5a",0.286969689,"the Suffragettes","I placed Boudica here because ...she was very violent"
"264",264,1260,"2022-07-25 12:11:50.595214+00","the Fall of the Roman Empire","practical","symbolic",0.568509606,"ch2","fb976f49-f848-412c-ae73-4d279553bb5a",0.698817308,"the End of Nazi Germany","I placed the Fall of the Roman Empire here because ...they had provided some good but there needed to be a change"
"265",265,1261,"2022-07-25 12:34:20.696154+00","the Fall of the Roman Empire","native","foreign",0.321885746,"ch2","c6250ae4-c425-46b3-8c9d-64ade147571e",0.857492336,"the End of Nazi Germany","I placed the Fall of the Roman Empire here because ...romans came to Britain
"
"266",266,1262,"2022-07-25 12:34:58.052469+00","Hadrian's Wall","long-lasting","short-term",0,"ch2","c6250ae4-c425-46b3-8c9d-64ade147571e",0.366756542,"the Berlin Wall","I placed Hadrian's Wall here because it’s been here for ever"
"267",267,1264,"2022-07-25 13:06:03.776642+00","Hadrian's Wall","regenerating","destructive",0,"ch2","9c9395ab-2621-4fb2-8a20-9cc1ccb32f95",1,"the US-Mexican border","I placed Hadrian's Wall here because ...we are more sensible than the Americans 
"
"268",268,1266,"2022-07-25 13:07:22.133728+00","the Roman Empire","connecting","dividing",0.006725679,"ch2","9c9395ab-2621-4fb2-8a20-9cc1ccb32f95",0.992253602,"the USSR","I placed the Roman Empire here because ...they took over many country’s "
"269",269,1271,"2022-07-25 13:31:25.998863+00","Hadrian's Wall","connecting","dividing",0.997104247,"ch2","4771b10f-e779-4c71-b9d6-3c2f043f7e8a",0.482625483,"the Anglo-Scottish border","I placed Hadrian's Wall here because ...the Scottish needed to be kept out
"
"270",270,1273,"2022-07-25 13:45:34.142355+00","the Roman Empire","celebrated","condemned",0.335379563,"ch2","0663b2ce-f1f1-4421-85cd-b1ff1138a52c",0.706563707,"the USSR","I placed the Roman Empire here because we have museums and that"
"271",271,1274,"2022-07-25 13:46:07.48002+00","Hadrian's Wall","moving","fixed",0.998069498,"ch2","0663b2ce-f1f1-4421-85cd-b1ff1138a52c",0.286679537,"the Anglo-Scottish border","I placed Hadrian's Wall here because it’s a wall that’s already been built"
"272",272,1278,"2022-07-25 13:53:57.182269+00","the Roman Empire","civilised","barbaric",0.068532819,"","",0.063706564,"the European Union","I placed the Roman Empire here because ... formed cities, rules and policies along with constructing roads for travelling and trading
"
"273",273,1282,"2022-07-25 14:19:33.308436+00","Boudica","practical","symbolic",1,"ch2","f66b4520-adcf-4a4e-9b81-a567a43bb484",0.702702703,"Theresa May","I placed Boudica here because ... female icon"
"274",274,1285,"2022-07-25 14:31:54.365543+00","Julius Caesar","native","foreign",0.548447127,"ch2","840b22a5-9ecd-4c1d-9bb0-7e2d480c1a5d",0.750942039,"Napoleon","I placed Julius Caesar here because ... he’s from Rome
"
"275",275,1286,"2022-07-25 14:32:47.665022+00","Hadrian's Wall","long-lasting","short-term",0.025096525,"ch2","840b22a5-9ecd-4c1d-9bb0-7e2d480c1a5d",0.348455598,"the Anglo-Scottish border","I placed Hadrian's Wall here because ...it’s still there now"
"276",276,1287,"2022-07-25 14:33:47.779185+00","the Fall of the Roman Empire","regenerating","destructive",0.666023166,"ch2","840b22a5-9ecd-4c1d-9bb0-7e2d480c1a5d",0.509612743,"the End of Nazi Germany","I placed the Fall of the Roman Empire here because ... lots of people died"
"277",277,1302,"2022-07-26 09:54:43.312332+00","Hadrian's Wall","skillful","incompetent",0.147659007,"ch2","b0543ef1-3249-4f85-953f-ed4021dde2ef",0.049185057,"the Great Wall of China","I placed Hadrian's Wall here because ...very silk full craftsmen and women "
"278",278,1308,"2022-07-26 10:52:09.004394+00","Boudica","skillful","incompetent",0.153474903,"ch2","ba961ad6-c3e4-4304-b734-14fe185d7e9e",0.411196911,"Theresa May","I placed Boudica here because ... she was quite skilled "
"279",279,1310,"2022-07-26 11:04:20.739334+00","Boudica","long-lasting","short-term",0.35528859,"ch2","23e73627-23dc-4659-a74e-bdec61bbdef9",0.512995422,"Margaret Thatcher","I placed Boudica here because she was very powerful and lasted a decent amount of time .
"
"280",280,1311,"2022-07-26 11:05:26.738995+00","Julius Caesar","progressive","regressive",0,"ch2","23e73627-23dc-4659-a74e-bdec61bbdef9",0.197876448,"Jean-Claude Juncker","I placed Julius Caesar here because the romans were very organised and modern with the thing that they did "
"281",281,1312,"2022-07-26 11:06:55.577033+00","the Roman Empire","refined","crude",0,"ch2","23e73627-23dc-4659-a74e-bdec61bbdef9",1,"Nazi Germany","I placed the Roman Empire here because they liked good things and were very astute, intelligent and powerful "
"282",282,1361,"2022-07-28 14:16:54.550981+00","Julius Caesar","peaceful","violent",1,"ch2","b272ea26-7b69-4c1e-8d9f-d712054e5e4f",1,"Napoleon","I placed Julius Caesar here because he sounds like a meany
"
"283",283,1362,"2022-07-28 14:18:53.801921+00","Boudica","skillful","incompetent",0.001900573,"ch2","b272ea26-7b69-4c1e-8d9f-d712054e5e4f",0,"Elizabeth I","I placed Boudica here because ...she was a great leader
"
"284",284,1364,"2022-07-29 09:19:16.426826+00","the Roman Empire","heroic","deluded",0.258687259,"ch2","1dd5d978-02bf-46f4-b4cd-07a20e3bf705",0.971042471,"the USSR","I placed the Roman Empire here because ...school history lessons."
"285",285,1365,"2022-07-29 09:20:03.487854+00","Hadrian's Wall","progressive","regressive",0.756756757,"ch2","1dd5d978-02bf-46f4-b4cd-07a20e3bf705",0.758687259,"the US-Mexican border","I placed Hadrian's Wall here because ...divisory "
"286",286,1366,"2022-07-29 09:20:37.649187+00","Julius Caesar","native","foreign",0.987451737,"ch2","1dd5d978-02bf-46f4-b4cd-07a20e3bf705",0.987451737,"Vladimir Putin","I placed Julius Caesar here because ...from another country."
"287",287,1367,"2022-07-29 09:50:08.637035+00","the Fall of the Roman Empire","moving","fixed",0.981660232,"ch2","08b8489a-9d23-47bc-bd10-85c8a6c60796",0.19015444,"the End of the British Empire","I placed the Fall of the Roman Empire here because ... There is no Roman Empire"
"288",288,1368,"2022-07-29 09:50:54.380069+00","Julius Caesar","dominant","submissive",0.326254826,"ch2","08b8489a-9d23-47bc-bd10-85c8a6c60796",0,"Vladimir Putin","I placed Julius Caesar here because ... He could be very dominant
"
"289",289,1369,"2022-07-29 09:51:41.375876+00","the Roman Empire","secure","insecure",0.557915058,"ch2","08b8489a-9d23-47bc-bd10-85c8a6c60796",0.192084942,"Nazi Germany","I placed the Roman Empire here because ... They were secure but a bit insecure
"
"290",290,1377,"2022-07-29 10:58:21.076244+00","Julius Caesar","heroic","deluded",0.085907336,"ch2","2acf0b96-eb23-48dd-abda-3f5834d24156",0.466216216,"Napoleon","I placed Julius Caesar here because ...he was a hero to many people"
"291",291,1378,"2022-07-29 10:59:00.301261+00","Hadrian's Wall","reassuring","worrying",0.254801864,"ch2","2acf0b96-eb23-48dd-abda-3f5834d24156",0.666988417,"the Berlin Wall","I placed Hadrian's Wall here because ...it shows proof of the past"
